scenario,simulation,shocked_bank,systemic_loss
Random failure,1,Bank_02,0.28049715681577897
Random failure,2,Bank_16,0.033807221312953356
Random failure,3,Bank_14,0.044543718812041
Random failure,4,Bank_09,0.02054558688146143
Random failure,5,Bank_09,0.02054558688146143
Random failure,6,Bank_18,0.02025102804080488
Random failure,7,Bank_02,0.28049715681577897
Random failure,8,Bank_14,0.044543718812041
Random failure,9,Bank_05,0.25524124537161796
Random failure,10,Bank_02,0.28049715681577897
Random failure,11,Bank_11,0.0399801622024546
Random failure,12,Bank_20,0.03774535768745524
Random failure,13,Bank_15,0.04479492221037007
Random failure,14,Bank_16,0.033807221312953356
Random failure,15,Bank_15,0.04479492221037007
Random failure,16,Bank_16,0.033807221312953356
Random failure,17,Bank_11,0.0399801622024546
Random failure,18,Bank_03,0.27165350518050047
Random failure,19,Bank_17,0.03785880409508039
Random failure,20,Bank_10,0.03080520063691546
Random failure,21,Bank_11,0.0399801622024546
Random failure,22,Bank_08,0.031372847122408294
Random failure,23,Bank_04,0.25567572444338144
Random failure,24,Bank_19,0.034159813496486904
Random failure,25,Bank_16,0.033807221312953356
Random failure,26,Bank_13,0.0321075807694755
Random failure,27,Bank_09,0.02054558688146143
Random failure,28,Bank_17,0.03785880409508039
Random failure,29,Bank_11,0.0399801622024546
Random failure,30,Bank_09,0.02054558688146143
Random failure,31,Bank_10,0.03080520063691546
Random failure,32,Bank_05,0.25524124537161796
Random failure,33,Bank_02,0.28049715681577897
Random failure,34,Bank_12,0.049847926664306985
Random failure,35,Bank_18,0.02025102804080488
Random failure,36,Bank_02,0.28049715681577897
Random failure,37,Bank_18,0.02025102804080488
Random failure,38,Bank_17,0.03785880409508039
Random failure,39,Bank_06,0.03452446330244111
Random failure,40,Bank_13,0.0321075807694755
Random failure,41,Bank_04,0.25567572444338144
Random failure,42,Bank_16,0.033807221312953356
Random failure,43,Bank_15,0.04479492221037007
Random failure,44,Bank_08,0.031372847122408294
Random failure,45,Bank_02,0.28049715681577897
Random failure,46,Bank_20,0.03774535768745524
Random failure,47,Bank_09,0.02054558688146143
Random failure,48,Bank_18,0.02025102804080488
Random failure,49,Bank_14,0.044543718812041
Random failure,50,Bank_16,0.033807221312953356
Random failure,51,Bank_16,0.033807221312953356
Random failure,52,Bank_04,0.25567572444338144
Random failure,53,Bank_08,0.031372847122408294
Random failure,54,Bank_10,0.03080520063691546
Random failure,55,Bank_10,0.03080520063691546
Random failure,56,Bank_01,0.2297705054473075
Random failure,57,Bank_11,0.0399801622024546
Random failure,58,Bank_04,0.25567572444338144
Random failure,59,Bank_15,0.04479492221037007
Random failure,60,Bank_14,0.044543718812041
Random failure,61,Bank_19,0.034159813496486904
Random failure,62,Bank_15,0.04479492221037007
Random failure,63,Bank_08,0.031372847122408294
Random failure,64,Bank_20,0.03774535768745524
Random failure,65,Bank_09,0.02054558688146143
Random failure,66,Bank_07,0.03246194484470445
Random failure,67,Bank_19,0.034159813496486904
Random failure,68,Bank_08,0.031372847122408294
Random failure,69,Bank_02,0.28049715681577897
Random failure,70,Bank_10,0.03080520063691546
Random failure,71,Bank_16,0.033807221312953356
Random failure,72,Bank_04,0.25567572444338144
Random failure,73,Bank_10,0.03080520063691546
Random failure,74,Bank_03,0.27165350518050047
Random failure,75,Bank_14,0.044543718812041
Random failure,76,Bank_10,0.03080520063691546
Random failure,77,Bank_07,0.03246194484470445
Random failure,78,Bank_05,0.25524124537161796
Random failure,79,Bank_12,0.049847926664306985
Random failure,80,Bank_14,0.044543718812041
Random failure,81,Bank_19,0.034159813496486904
Random failure,82,Bank_09,0.02054558688146143
Random failure,83,Bank_04,0.25567572444338144
Random failure,84,Bank_17,0.03785880409508039
Random failure,85,Bank_13,0.0321075807694755
Random failure,86,Bank_15,0.04479492221037007
Random failure,87,Bank_02,0.28049715681577897
Random failure,88,Bank_07,0.03246194484470445
Random failure,89,Bank_16,0.033807221312953356
Random failure,90,Bank_17,0.03785880409508039
Random failure,91,Bank_09,0.02054558688146143
Random failure,92,Bank_17,0.03785880409508039
Random failure,93,Bank_17,0.03785880409508039
Random failure,94,Bank_08,0.031372847122408294
Random failure,95,Bank_18,0.02025102804080488
Random failure,96,Bank_06,0.03452446330244111
Random failure,97,Bank_05,0.25524124537161796
Random failure,98,Bank_14,0.044543718812041
Random failure,99,Bank_13,0.0321075807694755
Random failure,100,Bank_03,0.27165350518050047
Random failure,101,Bank_17,0.03785880409508039
Random failure,102,Bank_04,0.25567572444338144
Random failure,103,Bank_17,0.03785880409508039
Random failure,104,Bank_01,0.2297705054473075
Random failure,105,Bank_16,0.033807221312953356
Random failure,106,Bank_16,0.033807221312953356
Random failure,107,Bank_16,0.033807221312953356
Random failure,108,Bank_14,0.044543718812041
Random failure,109,Bank_10,0.03080520063691546
Random failure,110,Bank_15,0.04479492221037007
Random failure,111,Bank_06,0.03452446330244111
Random failure,112,Bank_16,0.033807221312953356
Random failure,113,Bank_12,0.049847926664306985
Random failure,114,Bank_10,0.03080520063691546
Random failure,115,Bank_11,0.0399801622024546
Random failure,116,Bank_12,0.049847926664306985
Random failure,117,Bank_01,0.2297705054473075
Random failure,118,Bank_03,0.27165350518050047
Random failure,119,Bank_05,0.25524124537161796
Random failure,120,Bank_03,0.27165350518050047
Random failure,121,Bank_09,0.02054558688146143
Random failure,122,Bank_14,0.044543718812041
Random failure,123,Bank_14,0.044543718812041
Random failure,124,Bank_10,0.03080520063691546
Random failure,125,Bank_18,0.02025102804080488
Random failure,126,Bank_12,0.049847926664306985
Random failure,127,Bank_02,0.28049715681577897
Random failure,128,Bank_16,0.033807221312953356
Random failure,129,Bank_12,0.049847926664306985
Random failure,130,Bank_13,0.0321075807694755
Random failure,131,Bank_12,0.049847926664306985
Random failure,132,Bank_12,0.049847926664306985
Random failure,133,Bank_02,0.28049715681577897
Random failure,134,Bank_12,0.049847926664306985
Random failure,135,Bank_16,0.033807221312953356
Random failure,136,Bank_07,0.03246194484470445
Random failure,137,Bank_13,0.0321075807694755
Random failure,138,Bank_01,0.2297705054473075
Random failure,139,Bank_07,0.03246194484470445
Random failure,140,Bank_09,0.02054558688146143
Random failure,141,Bank_20,0.03774535768745524
Random failure,142,Bank_05,0.25524124537161796
Random failure,143,Bank_06,0.03452446330244111
Random failure,144,Bank_09,0.02054558688146143
Random failure,145,Bank_20,0.03774535768745524
Random failure,146,Bank_18,0.02025102804080488
Random failure,147,Bank_01,0.2297705054473075
Random failure,148,Bank_05,0.25524124537161796
Random failure,149,Bank_17,0.03785880409508039
Random failure,150,Bank_02,0.28049715681577897
Random failure,151,Bank_18,0.02025102804080488
Random failure,152,Bank_06,0.03452446330244111
Random failure,153,Bank_19,0.034159813496486904
Random failure,154,Bank_06,0.03452446330244111
Random failure,155,Bank_09,0.02054558688146143
Random failure,156,Bank_14,0.044543718812041
Random failure,157,Bank_03,0.27165350518050047
Random failure,158,Bank_12,0.049847926664306985
Random failure,159,Bank_11,0.0399801622024546
Random failure,160,Bank_16,0.033807221312953356
Random failure,161,Bank_20,0.03774535768745524
Random failure,162,Bank_14,0.044543718812041
Random failure,163,Bank_09,0.02054558688146143
Random failure,164,Bank_09,0.02054558688146143
Random failure,165,Bank_09,0.02054558688146143
Random failure,166,Bank_17,0.03785880409508039
Random failure,167,Bank_07,0.03246194484470445
Random failure,168,Bank_04,0.25567572444338144
Random failure,169,Bank_07,0.03246194484470445
Random failure,170,Bank_01,0.2297705054473075
Random failure,171,Bank_03,0.27165350518050047
Random failure,172,Bank_02,0.28049715681577897
Random failure,173,Bank_16,0.033807221312953356
Random failure,174,Bank_15,0.04479492221037007
Random failure,175,Bank_14,0.044543718812041
