bank_id,systemic_impact
Bank_02,0.28049715681577897
Bank_03,0.27165350518050047
Bank_04,0.25567572444338144
Bank_05,0.25524124537161796
Bank_01,0.2297705054473075
Bank_12,0.049847926664306985
Bank_15,0.04479492221037007
Bank_14,0.044543718812041
Bank_11,0.0399801622024546
Bank_17,0.03785880409508039
Bank_20,0.03774535768745524
Bank_06,0.03452446330244111
Bank_19,0.034159813496486904
Bank_16,0.033807221312953356
Bank_07,0.03246194484470445
Bank_13,0.0321075807694755
Bank_08,0.031372847122408294
Bank_10,0.03080520063691546
Bank_09,0.02054558688146143
Bank_18,0.02025102804080488
